latitude,longitude,api
3110664.9391021985,-10911823.691842923,42047324330000
3113367.86903557,-10911608.511267219,42047324360000
3119580.5069903787,-10909925.583205406,42047324370000
3114322.7319355197,-10911733.745694362,42047324380000
3114298.509979158,-10917399.128539303,42047324400000
3120620.231372357,-10911587.026605494,42047324410000
3120015.4231899576,-10911172.584141271,42047324440000
3110263.263935593,-10912171.676571142,42047324450000
3113051.010686254,-10910816.02781226,42047324460000
3109695.4710459486,-10912555.506175399,42047324470000
3117056.459899127,-10909364.310332827,42047324480000
3116713.6690282426,-10914951.324256249,42047324510000
3119516.0576007264,-10911043.787490424,42047324530000
3126497.169310592,-10923792.652173525,42047324550000
3109431.2410859214,-10915920.471743098,42047324580000
3113839.9237888954,-10910879.03464405,42047324590000
3108434.5258577657,-10918179.478169763,42047324600000
3114691.560067033,-10909899.868403032,42047324620000
3108410.688426997,-10917289.1448824,42047324660000
3124787.395061909,-10920909.366042487,42047324700000
3124350.4569967655,-10921205.141929524,42047324720000
3152065.825923338,-10923400.58492695,42047324870000
3112774.1087909928,-10910307.965656282,42047324940000
3128040.5559110604,-10915290.737383679,42047325100000
3482623.599668658,-10504215.576437328,42047325310000
3482181.12373829,-10504229.157415204,42047325360000
3476669.6766476054,-10504502.892043065,42071201180000
3477076.0454626638,-10503860.578581188,42071303270000
3724433.3867101087,-10605558.614465708,42071316700000
3725108.037017629,-10606419.22544903,42071320880000
3724804.8584515606,-10604530.46764874,42073309440000
3975793.8738841326,-10948664.877320956,42073309860000
3975521.8867978035,-10947950.762787517,42073310000000
3974870.2131414986,-10948096.813959438,42077349710000
3968841.038546777,-10943326.773778945,42077349720000
3967840.199924816,-10943201.539351804,42077349820000
3967821.500976662,-10942788.544040961,42077349920000
3972321.8760110936,-10950545.063520454,42077349930000
3971107.9056809526,-10950371.293795327,42077349940000
3979920.712379747,-10948562.240750445,42077349960000
3976048.2243731664,-10908313.009061774,42077349970000
3977052.983745922,-10912517.657548528,42077350340000
3971514.062468045,-10949883.157828199,42077350450000
3971008.2391284043,-10943645.704120068,42077350460000
3495099.4207951017,-10751700.84572995,42077350740000
3495102.503730753,-10751651.308556547,42077351850000
3973762.7464654786,-10850147.239288399,42089327400000
3977271.002835611,-10793060.04406132,42089327590000
3977331.6906737234,-10793431.405882608,42097328820000
3965954.029322317,-10850477.412898092,42097330980000
3959905.617155837,-10848655.558111768,42097331300000
3968790.279927882,-10849672.016382203,42097335490000
3962925.5557258963,-10847808.528106324,42097336020000
3968054.0379074235,-10848988.848667204,42097337310000
3968156.2167307846,-10849827.529710842,42097337560000
3962273.3914971333,-10848146.1601219,42097338120000
3962289.0109675545,-10849578.285370955,42097338160000
3965931.861337866,-10851276.909480968,42097338170000
3971079.7157241926,-10847820.105333365,42097338230000
3963095.7786501846,-10848749.511761999,42097338340000
3966720.72056571,-10849119.537749397,42097338520000
3963574.552416651,-10847895.691267615,42097338530000
3976527.402263562,-10851252.530512486,42097338640000
3968749.2724698735,-10851167.259782538,42097338660000
3965406.9198773284,-10849445.258579457,42097338700000
3965620.445717315,-10849659.771238215,42097338710000
3964121.0409800783,-10848407.760925265,42097338750000
3967945.983116242,-10850616.339622604,42097338770000
3964309.974753368,-10851711.834731499,42097338800000
3963246.9120072327,-10848099.739894237,42097338820000
3962065.9348925473,-10847321.505334102,42097338830000
3962030.157682201,-10847794.056572521,42097338960000
3967054.3359623034,-10850218.149804035,42097339000000
3974468.348266685,-10850432.662462795,42097339010000
3968979.290127795,-10851252.085234523,42097339020000
3960892.153096509,-10851377.876259118,42097339060000
3962193.6924767923,-10851457.692334019,42097339080000
3962106.7851263676,-10851764.600170134,42097339140000
3971331.958166222,-10849544.889523717,42097339230000
3965362.318980846,-10850723.206333764,42097339280000
